,name,year,owners,mileage,litres,BHP,transmission,fuel,price,write_off_category,vehicle_type,seller_name,location
49,Citroen DS3,2010 (60 reg),4 owners,"84,600 miles",1.6L,150PS,Manual,Petrol,"£2,000",N/A,Hatchback,Parkside Motor Store - See all 347 cars,Dealer locationBolton
50,Ford Fiesta,2008 (58 reg),N/A,"163,000 miles",1.4L,67BHP,Manual,Diesel,£899,N/A,Hatchback,BASFORD MOTORS LTD - See all 62 cars,Dealer locationStoke On Trent
51,Mazda MX-5,2004 (54 reg),4 owners,"131,848 miles",1.8L,146BHP,Manual,Petrol,£800,N/A,Convertible,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
52,Vauxhall Astra,2009 (59 reg),Part service history,"100,287 miles",1.8L,138BHP,Manual,Petrol,"£2,290",N/A,Hatchback,Car Bazaar Ltd - See all 23 cars,Dealer locationSheffield
53,Peugeot 207,2012 (61 reg),4 owners,"69,001 miles",1.4L,95PS,Manual,Petrol,"£3,241",N/A,Hatchback,bravoauto Chester - See all 117 cars,Dealer locationChester
54,Ford Fiesta,2021 (21 reg),N/A,"11,070 miles",1.0L,95PS,Manual,Petrol,"£13,440",N/A,Hatchback,Bristol Street Motors Nissan Widnes - See all 44 cars,Dealer locationWidnes
55,Vauxhall Astra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,See all lease deals,N/A
56,Nissan Juke,2017 (17 reg),Full service history,"31,077 miles",1.2L,115BHP,Manual,Petrol,"£11,790",N/A,SUV,Dace Specialist Car Centre - Trading Standards Approved - See all 137 cars,Dealer locationStockport
57,Citroen C3,2007 (07 reg),1 owner,"110,180 miles",1.4L,67BHP,Manual,Diesel,"£1,290",N/A,Hatchback,Jap Autos LTD - See all 16 cars,Dealer locationAccrington
58,Vauxhall Signum,2005 (55 reg),N/A,"84,680 miles",2.2L,152BHP,Manual,Petrol,"£1,795",N/A,Hatchback,M5 Car Ltd - See all 39 cars,Dealer locationOldbury
59,Ford KA,2008 (08 reg),5 owners,"47,532 miles",1.3L,69BHP,Manual,Petrol,£499,N/A,Hatchback,GENERAL MOTORS - See all 36 cars,Dealer locationBirmingham
